事業所番号,求人番号,都道府県,職安管轄コード,産業分類コード,職業分類コード,職業細分類コード,受付番号,事業所名,事業所名フリガナ,郵便番号,所在地,事業内容,従業員数(全体),従業員数(就業場所),従業員数(男性),従業員数(女性),資本金(億円),職種,備考,休日日数,給与(円),賞与(基本給、円),賞与(平均、万円),交代制,鉄道路線,最寄駅,求人Ｍ,求人Ｆ,求人ＭＦ,就業場所,職種分類,応募先郵便番号,応募先,採用担当部署,採用担当者,採用担当TEL,採用担当FAX,前年度事業所紐づけ
2303-80136-8,23030-847459,愛知県,2303,452,95,1,250308,東海協和　株式会社,トウカイキョウワ,490-1446,愛知県海部郡飛島村東浜2丁目1番9号,海上貨物の取扱い、荷役、輸送に関する全般,347,29,26,3,0.99,港湾作業スタッフ（倉庫内作業）,,110,208000,2.80,0.00,なし,西名古屋港線（あおなみ線）,金城ふ頭,1,,,飛島村,"技能（その他）",455-0032,名古屋市港区金入船１ー１ー２０,総務課,萩本　早紀,052-651-3111,052-654-0062
2303-80136-8,23030-842059,愛知県,2303,452,95,1,250309,東海協和　株式会社,トウカイキョウワ,455-0848,名古屋市港区金城ふ頭三丁目1番　金城現業所,海上貨物の取扱い、荷役、輸送に関する全般,347,14,14,0,0.99,港湾作業スタッフ（船積み貨物の固定作業）,,110,208000,2.80,0.00,なし,西名古屋港線（あおなみ線）,金城ふ頭,1,,,名古屋市港区,"技能（その他）",455-0032,名古屋市港区金入船１ー１ー２０,総務課,萩本　早紀,052-651-3111,052-654-0062
2303-100604-8,23030-714359,愛知県,2303,441,34,1,250310,米山運送　株式会社,"ヨネヤマウンソウ　",476-0002,愛知県東海市名和町中埋田23-5,一般区域貨物自動車運送事業,332,116,110,6,0.45,一般事務,,111,186000,0.00,5.00,なし,名鉄常滑線,名和,,2,,東海市,事務,459-8001,名古屋市緑区大高町丸の内65-1,総務部　部長,遠本,052-601-7892,052-622-9451,240317　米山運送　株式会社　一般事務
1306-214018-8,13060-535759,東京都,1306,471,95,3,250311,SBS三愛ロジスティクス　株式会社,エスビーエスサンアイロジスティクス,459-8001,名古屋市緑区大高町坊主山１ー１２,輸送・保管・荷役・梱包・通関・回収・リサイクル事業など,1781,19,12,7,0.3,自動車部品などを扱う倉庫内作業スタッフ／名古屋市,,119,180000,4.74,0.00,なし,JR東海道本線,南大高,,,1,名古屋市緑区,"技能（検査・管理）",454-0001,名古屋市中川区運河町６０１　中部支社,中部支社　事業統括課　採用担当,竹田　幸代、黒川颯太,052-354-8060,052-354-8058
2303-81047-0,23030-540759,愛知県,2303,481,34,1,250312,株式会社　上組　名古屋支店,カミグミ　ナゴヤシテン,455-0032,名古屋市港区入船１ー２ー１２,港湾運送業、倉庫業、貨物自動車運送事業など,3821,466,359,107,316,一般事務（貿易事務他）,,105,205000,5.00,0.00,シフト,市営名港線,名古屋港,,1,,名古屋市港区、東海市,事務,455-0032,名古屋市港区入船１ー２ー１２,管理部　部長,石井　義久,052-652-8881,052-652-0297
2303-81047-0,23030-541659,愛知県,2303,481,34,1,250313,株式会社　上組　名古屋支店,カミグミ　ナゴヤシテン,455-0032,名古屋市港区入船１ー２ー１２,港湾運送業、倉庫業、貨物自動車運送事業など,3821,466,359,107,316,準総合職（貿易事務他）,,105,215000,5.00,0.00,シフト,市営名港線,名古屋港,1,,,名古屋市港区,総合,455-0032,名古屋市港区入船１ー２ー１２,管理部　部長,石井　義久,052-652-8881,052-652-0297
2302-651035-8,23020-56659,愛知県,2302,391,9,1,250314,オーガスタラボ　株式会社,オーガスタラボ,460-0006,名古屋市中区葵1丁目20番22号,"ソフトウェア開発",17,17,16,1,0.1,システムエンジニア・プログラマ,,125,186000,3.00,0.00,なし,地下鉄東山線,新栄町,,,1,名古屋市中区,"技能（システム、プログラマ）",460-0006,名古屋市中区葵1丁目20番22号　MIテラス名古屋葵12階,人事部,鈴木　りさ,052-485-8933,052-485-8944
2301-631176-0,23010-233359,愛知県,2301,441,88,4,250315,トランコムＥＸ中日本　株式会社,トランコムイーエックスナカニホン,476-0002,愛知県東海市名和町奥前後８０,"物流センター構築運営サービス　貨物輸配送サービス",2313,75,45,30,0.3,センター管理員（庫内作業スタッフ）東海ロジスティクスセンター,,105,199578,99.00,999.00,2交代,名鉄常滑線,名和,,,1,東海市,"技能（検査・管理）",461-0004,名古屋市東区葵１丁目１９－３０,採用グループ,橋本,052-939-2032,052-939-2015,240301　トランコムＥＸ中日本株式会社　センター管理員（庫内作業スタッフ）／東海ロジスティクスセンター
2301-621672-6,23010-51559,愛知県,2301,441,48,99,250316,トランコム株式会社,トランコム,461-0004,名古屋市東区葵１丁目１９－３０,総合物流業,775,40,18,22,10.8,アジャスター（内勤営業職）／名古屋情報センター,,120,190400,99.00,999.00,なし,地下鉄東山線,新栄町,,,1,名古屋市東区,接客・販売,461-0004,名古屋市東区葵１丁目１９－３０,採用グループ,橋本,052-939-2032,052-939-2015
2302-615708-6,23020-1003159,愛知県,2302,920,42,3,250317,日本郵便　株式会社　東海支社,ニッポンユウビン　トウカイシシャ,469-8797,名古屋市中村区名駅一丁目１番１号　ＪＰタワー名古屋,郵便・銀行窓口等の幅広い業務,169961,17846,13201,4645,4000,一般職　（窓口コース）,,120,214100,4.30,0.00,シフト,JR東海道本線,名古屋,,,1,名古屋市中村区,事務,469-8797,名古屋市中村区名駅一丁目１番１号　ＪＰタワー名古屋,人事部　,要員採用担当,052-446-8235,052-446-8254,240082　日本郵便　株式会社　東海支社　一般職　（窓口コース）
2302-615708-6,23020-1000859,愛知県,2302,920,82,3,250318,日本郵便　株式会社　東海支社,ニッポンユウビン　トウカイシシャ,469-8797,名古屋市中村区名駅一丁目１番１号　ＪＰタワー名古屋,郵便・銀行窓口等の幅広い業務,169961,17846,13201,4645,4000,一般職　（郵便コース）,,120,214100,4.30,0.00,シフト,JR東海道本線,名古屋,,,1,名古屋市中村区,その他,469-8797,名古屋市中村区名駅一丁目１番１号　ＪＰタワー名古屋,人事部　,要員採用担当,052-446-8235,052-446-8254,240083　日本郵便　株式会社　東海支社　一般職　（郵便コース）
2311-300018-1,23110-749159,愛知県,2311,311,74,11,250319,株式会社　豊田自動織機,トヨタジドウショッキ,448-8671,愛知県刈谷市豊田町２丁目１番地,繊維機械、自動者、産業車両、物流システム機器、カーエアコンなどの製造、販売、及び物流事業等,14481,14481,13232,1249,804,"技能職",,121,202000,0.00,200.00,2交代,JR東海道本線,刈谷,,,2,大府市、刈谷市、高浜市,"技能（機械、製造、技術）",448-8671,愛知県刈谷市豊田町２－１,"人事部　人材開発室　技能要員・採用グループ　グループ長",山田　光乗,0566-21-7783,0566-22-2530,"240248　株式会社　豊田自動織機　技能職"
2308-301301-6,23080-92859,愛知県,2308,804,56,8,250320,株式会社　大樹開発,ダイジュカイハツ,489-0937,愛知県瀬戸市南菱野町４６５,ゴルフ練習場、フィットネスクラブの経営、ゴルフ場の経営,450,130,70,60,0.05,スポーツ施設スタッフ【大府】・フロント・レストラン・打席・フィットネス,,116,215000,2.00,0.00,シフト,JR東海道本線,大府,,,1,大府市,接客・販売,474-0011,愛知県大府市横根町箕手１－１　ゴルフ倶楽部大樹　大府,支配人,中川　快利,0570-015-562,0562-45-1014,240313　有限会社　大樹開発　スポーツ施設スタッフ【大府】・フロント・レストラン・打席係・ショップ・フィットネス
2307-619285-2,23070-629659,愛知県,2307,99,40,1,250321,大日食品株式会社,ダイニチショクヒン,476-0011,愛知県東海市富木島５２番地,漬物、総菜、佃煮その他食料品の製造、販売,77,76,29,47,0.5,販売事務職,,115,181050,2.00,0.00,なし,名鉄常滑線,太田川,,1,,東海市,事務,476-0011,愛知県東海市富木島５２番地,取締役　業務部長,辻　徳,052-604-1403,052-604-8660,240230　大日食品株式会社　販売事務職
2307-619285-2,23070-630059,愛知県,2307,99,68,1,250322,大日食品株式会社,ダイニチショクヒン,476-0011,愛知県東海市富木島５２番地,漬物、総菜、佃煮その他食料品の製造、販売,77,76,29,47,0.5,製造ライン作業,,115,181050,2.00,0.00,なし,名鉄常滑線,太田川,,,1,東海市,"技能（機械、製造、技術）",476-0011,愛知県東海市富木島５２番地,取締役　業務部長,辻　徳,052-604-1403,052-604-8660,240231　大日食品株式会社　製造ライン作業
1304-683107-5,13040-1449359,東京都,1304,441,42,2,250323,株式会社　LIXIL物流,リクシルブツリュウ,141-0033,東京都品川区西品川1丁目１－１　大崎ガーデンタワー,住宅設備の梱包、荷役、配替、保管の物流作業請負,728,76,45,31,0.5,輸送計画管理・製品管理・間接業務（愛知県知多市）,,125,186112,5.03,0.00,フレックス,名鉄常滑線,古見,,,2,知多市,"技能（検査・管理）",141-0033,東京都品川区西品川1丁目１－１　大崎ガーデンタワー,LIXIL物流　知多物流センター管理課長,曽谷　英典,0562-31-0550,,240341　株式会社　LIXIL物流　輸送計画管理・製品管理・間接業務（愛知県知多市）
2303-90114-6,23030-748359,愛知県,2303,319,71,4,250324,新家工業　株式会社　名古屋工場,アラヤコウギョウ　ナゴヤコウジョウ,457-0831,愛知県名古屋市南区荒浜町３－１,鋼管・型鋼を製造販売,305,68,63,5,39.4,"技能職（造管機、型鋼成型機、鋼管研磨機のオペレーター）",,127,170500,6.00,0.00,なし,JR東海道本線,笠寺,1,,,名古屋市南区,"技能（機械、製造、技術）",457-0831,愛知県名古屋市南区荒浜町３－１,管理課　課長,浅井　一志,052-611-1601,052-611-1444,"240268　新家工業株式会社　名古屋工場　技能職（造管機、型鋼成型機、鋼管研磨機のオペレーター）"
2303-90053-7,23030-924159,愛知県,2303,249,71,5,250325,株式会社　ナゴヤギア,ナゴヤギア,457-0819,名古屋市南区滝春町九番地,精密歯車製造,52,52,47,5,0.6,"技能職",,112,193500,4.50,0.00,2交代,名鉄常滑線,大同町,1,,,名古屋市南区,"技能（機械、製造、技術）",457-0819,名古屋市南区滝春町九番地,取締役,加藤　伸明,052-612-1230,052-612-1185,"240327　株式会社　ナゴヤギア　技能職"
2307-203918-5,23070-604659,愛知県,2307,833,34,3,250326,木村慎吾歯科クリニック,キムラシンゴシカクリニック,476-0013,愛知県東海市中央町７ー２６,歯科、口腔外科、矯正,6,6,0,6,0.6,歯科助手・受付,,115,180000,3.00,0.00,シフト,名鉄常滑線,太田川,,1,,東海市,事務,476-0013,愛知県東海市中央町７ー２６,院長,木村慎吾,0562-33-8704,0562-33-0373,220347　木村慎吾歯科クリニック　歯科助手・受付
2307-202405-9,23070-634559,愛知県,2307,62,34,1,250327,株式会社　中村土木建設,ナカムラドボクケンセツ,477-0031,愛知県東海市大田町松崎331-1,総合建設業・上下水道工事・リフォーム工事等,80,79,62,17,0.2,事務,,120,178000,5.00,0.00,なし,名鉄常滑線,太田川,,1,,東海市,事務,477-0031,愛知県東海市大田町松崎331-1,採用担当,石原　歩佳,0562-32-4730,0562-32-4708,240181　株式会社　中村土木建設　事務（総合建設業）
2307-200415-0,23070-135659,愛知県,2307,62,45,14,250328,株式会社　サイダ,サイダ,479-0848,愛知県常滑市港町6丁目6番地,土木建設・建築工事・土木建築資材の販売,9,9,6,3,0.2,施工管理・建設資材販売,,105,210000,2.00,0.00,なし,名鉄常滑線,榎戸,,,1,常滑市,"技能（その他）",479-0848,愛知県常滑市港町6丁目6番地,採用担当,採用担当者,0562-32-4730,0562-32-4708,240182　株式会社　サイダ　施工管理・建設資材販売
2307-161293-4,23070-88459,愛知県,2307,223,71,4,250329,大阪富士工業　株式会社　知多支店,オオサカフジコウギョウ　チタシテン,475-0832,"愛知県半田市川崎町1丁目1番地 JFEスチール株知多製造所内",シームレスパイプ製造など,2128,29,16,13,0.94,機械オペレーター,,117,193000,4.80,0.00,3交代,JR武豊線,東成岩,,,1,半田市,"技能（機械、製造、技術）",475-0832,"愛知県半田市川崎町1丁目1番地 JFEスチール株知多製造所内",管理部　業務課　課長,長坂　優,0569-22-1255,0569-21-4593,240235　大阪富士工業　株式会社　知多支店　機械オペレーター
2307-629726-9,27020-266159,愛知県,2307,94,72,6,250330,盛田株式会社　大阪本部,モリタ　オオサカホンブ,530-0034,大阪府大阪市北区錦町4番82号,清酒及び調味料の製造出荷,446,103,57,46,0,食品の製造（酒・味噌・みりん・料理酒・つゆ・たれ）,,120,168000,1.60,0.00,なし,名鉄知多新線,上野間,,,1,常滑市,"技能（食品製造・調理）",530-0034,大阪府大阪市北区錦町4番82号,小鈴谷工場　管理部管理課　課長,平田　和寛,0569-37-0511,0569-37-0532,240336　盛田株式会社　大阪本部　食品の製造（酒・味噌・みりん・料理酒・つゆ・たれ）
2307-188202-4,23070-247259,愛知県,2307,239,67,8,250331,吉川工業　株式会社　名古屋支店,ヨシカワコウギョウ　ナゴヤシテン,476-0015,愛知県東海市東海町3-10-4,ゴムロール、連続鋳造用ボトムシール材等の生産、加工,1600,42,39,3,1,製造オペレーター,,117,180800,0.00,122.00,なし,名鉄常滑線,新日鉄前,,,1,東海市,"技能（機械、製造、技術）",476-0015,愛知県東海市東海町3-10-4,業務室長・業務スタッフ,平井裕樹・作野翔,052-603-2311,052-604-6168,240224　吉川工業　株式会社　名古屋支店　製造オペレーター
2307-188202-4,23070-346459,愛知県,2307,239,67,8,250332,吉川工業　株式会社　名古屋支店,ヨシカワコウギョウ　ナゴヤシテン,476-0015,愛知県東海市東海町3-10-4,ゴムロール、連続鋳造用ボトムシール材等の生産、加工,1600,42,39,3,1,製造オペレーター,,100,182500,0.00,122.00,3交代,名鉄常滑線,新日鉄前,,,1,東海市,"技能（機械、製造、技術）",476-0015,愛知県東海市東海町3-10-4,業務室長・業務スタッフ,平井裕樹・作野翔,052-603-2311,052-604-6168
2311-619349-8,23110-801059,愛知県,2311,311,34,1,250333,株式会社　サンリツ,サンリツ,448-0022,愛知県刈谷市一色町３丁目７番地１１,自動車試作板金部品加工業,59,59,28,31,0.2,一般事務,,121,186000,2.00,0.00,なし,名鉄三河線,重原,,1,,刈谷市,事務,448-0022,愛知県刈谷市一色町３丁目７番地１１,総務部,採用担当者,0566-21-2143,0566-23-6308,230391　株式会社　サンリツ　一般事務
2307-617957-5,23070-214559,愛知県,2307,854,50,1,250334,社会福祉法人　健志会,ケンシカイ,477-0032,愛知県東海市加木屋町裾77番地1,定員120名のユニット型施設で、原則要介護3以上の方の食事入浴等のサポートを行っている。,90,87,20,67,0.01,介護職,,113,160000,3.00,0.00,シフト,名鉄常滑線,太田川,,,1,東海市,介護,477-0032,愛知県東海市加木屋町裾77番地1,施設長,小出,0562-57-7555,0562-57-7556,240302　社会福祉法人　健志会　介護職
2307-170675-4,23070-626559,愛知県,2307,881,96,5,250335,株式会社　テクア,テクア,479-0824,愛知県常滑市白山町1丁目200,一般廃棄物・産業廃棄物収集運搬、し尿汲取り・浄化槽点検清掃など,74,50,43,7,0.2,清掃作業員,,100,187700,3.85,0.00,なし,名鉄常滑線,常滑,,,1,常滑市,"技能（その他）",479-0824,愛知県常滑市白山町1丁目200,採用係,"平村　圭雨",0569-35-3817,0569-35-6823
2307-205621-0,23070-601559,愛知県,2307,854,50,1,250336,株式会社　RandTカンパニー,アールアンドティー　カンパニー,477-0031,愛知県東海市大田町天尾崎1077,特定施設入所者生活介護・短期入所生活介護・デイサービス　センター,198,41,8,33,0.1,介護(太田川),,108,130000,5.00,0.00,シフト,名鉄常滑線,太田川,,,1,東海市,介護,477-0031,東海市大田町天尾崎２０－１　,施設長,越前　裕司,0562-36-0028,0562-36-0029,230342　株式会社　ＲａｎｄＴカンパニー　介護<太田川>
2302-214178-4,23020-1773559,愛知県,2302,591,34,1,250337,トヨタモビリティ東名古屋　株式会社,トヨタモビリティヒガシナゴヤ,460-0006,名古屋市中区葵一丁目27番29号,トヨタ車、レクサス、輸入車、中古車の販売及び整備、損害保険代理業,570,74,34,40,1,一般事務,,118,192000,4.00,0.00,なし,地下鉄東山線,新栄町,,1,,名古屋市中区、名古屋市天白区、豊田市,事務,460-0006,名古屋市中区葵一丁目27番29号,採用課,吉田,0120-104-771,052-935-6824,240278　トヨタモビリティ東名古屋　株式会社　一般事務
2302-214178-4,23020-1775759,愛知県,2302,591,75,3,250338,トヨタモビリティ東名古屋　株式会社,トヨタモビリティヒガシナゴヤ,460-0006,名古屋市中区葵一丁目27番29号,トヨタ車、レクサス、輸入車、中古車の販売及び整備、損害保険代理業,570,74,34,40,1,自動車整備士（トヨタディーラー及び輸入車正規ディーラーでの整備）,,118,192000,4.00,0.00,なし,地下鉄東山線,新栄町,,,1,名古屋市中区、名古屋市天白区、豊田市,"技能（機械、製造、技術）",460-0006,名古屋市中区葵一丁目27番29号,採用課,吉田,0120-104-771,052-935-6824,240280　トヨタモビリティ東名古屋　株式会社　自動車整備士（トヨタディーラー及び輸入車正規ディーラーでの整備）
2302-214176-9,23020-1780259,愛知県,2302,702,34,1,250339,キリックスリース　株式会社,キリックスリース,460-0006,名古屋市中区葵１丁目２７－２９,車両の法人向けリース等,228,52,32,20,1,一般事務,,118,192000,5.00,0.00,なし,地下鉄東山線,新栄町,,1,,名古屋市中区、刈谷市、県外,事務,460-0006,名古屋市中区葵１丁目２７－２９,採用,森,0120-104-771,052-935-6784,240279　キリックスリース　株式会社　一般事務
2302-214176-9,23020-1785959,愛知県,2302,702,75,3,250340,キリックスリース　株式会社,キリックスリース,460-0006,名古屋市中区葵１丁目２７－２９,車両の法人向けリース等,228,52,32,20,1,自動車整備士（国産車、輸入車の整備）,,118,192000,5.00,0.00,なし,地下鉄東山線,新栄町,,,1,名古屋市中区、刈谷市、県外,"技能（機械、製造、技術）",460-0006,名古屋市中区葵１丁目２７－２９,採用,森,0120-104-771,052-935-6784,240281　キリックスリース　株式会社　自動車整備士（国産車、輸入車の整備）
2307-618713-8,23070-527059,愛知県,2307,311,71,6,250341,伊藤金属工業　株式会社,イトウキンゾクコウギョウ,470-2102,愛知県知多郡東浦町緒川姥池１００,自動車用エンジン部品製造,178,170,145,25,0.5,"技術・技能員",,121,188000,4.84,0.00,2交代,名鉄河和線,八幡新田,,,1,東浦町,"技能（機械、製造、技術）",470-2102,愛知県知多郡東浦町緒川姥池１００,総務部,藤井　浩人,0562-57-5201,0562-57-5228
2302-202627-7,23020-819659,愛知県,2302,783,53,3,250342,株式会社　岩井文男美容室,イワイフミオビヨウシツ,477-0031,愛知県東海市大田町下浜田102番1　ラスパ太田川南館1F,美容室と飲食店を展開し、美容師免許取得できます。,224,13,3,10,0.1,美容師補助業務（東海市）,,110,188000,0.00,2.00,なし,名鉄河和線,太田川,,,1,東海市,美容,477-0031,愛知県東海市大田町下浜田102番1　ラスパ太田川南館1F,人事部,樅山・山口,090-4266-6450,052-961-9760,240170　株式会社　岩井文男美容室　美容師補助業務（東海市）
2307-615085-9,23070-491459,愛知県,2307,534,80,5,250343,ナゴヤスチール　株式会社,ナゴヤスチール,476-0001,愛知県東海市南柴田町ヲノ割４５７番地の１６,一般鋼材鉄鋼製品加工販売,29,29,17,12,0.1,工場作業,,115,190000,3.00,0.00,なし,名鉄常滑線,名和,,,1,東海市,"技能（機械、製造、技術）",476-0001,東海市南柴田町ヲノ割４５７番地の１６,"代表取締役",永田　裕貴,052-603-0221,052-603-0310,240306　ナゴヤスチール　株式会社　工場内作業
2307-188609-6,23070-21759,愛知県,2307,89,92,2,250344,東邦ステンレス工業　株式会社,トウホウステンレスコウギョウ,476-0013,愛知県東海市中央町７丁目３番地,舗装工事業、塗装業、土木工事業、製造、販売業,20,20,17,3,0.1,区画線工・土木作業員・現場監督候補,,117,185000,4.00,0.00,なし,名鉄河和線,太田川,,,1,東海市,"技能（その他）",477-0031,愛知県東海市大田町郷中９２,総務部　部長,中村　充輝,0562-33-1676,0562-33-5662
2307-170082-2,23070-508659,愛知県,2307,253,48,4,250345,株式会社　マキノ,マキノ,479-0021,愛知県常滑市大曽町3丁目1,一般産業用機械・装置製造業,162,134,115,19,1,営業職,,120,210000,5.00,0.00,なし,名鉄常滑線,常滑,,,1,常滑市,接客・販売,479-0021,愛知県常滑市大曽町3丁目1,管理部　次長,岩橋　重和,0569-36-0109,0569-35-6182,240051　株式会社　マキノ　営業職
2307-204476-3,23070-327259,愛知県,2307,314,74,12,250346,東明工業　株式会社,トウメイコウギョウ,478-0069,愛知県知多市新刀池２丁目１１番地,"航空機の構造組立、航空機組立治具、各種機械装置の設計製作",500,205,171,34,1,"技能職（航空機他乗り物に関わるものづくり）",,121,196500,3.30,12.00,なし,名鉄小牧線,小牧原,,,1,知多市、東郷町、弥富市,"技能（機械、製造、技術）",478-0069,愛知県知多市新刀池２丁目１１番地,総務部　課長代理,田中　則光,0562-54-1881,0562-56-5873,"240146　東明工業　株式会社　技能職（航空機他乗物に関わるモノづくり）"
2311-300451-7,23110-403959,愛知県,2311,769,56,99,250347,株式会社　だるま,ダルマ,448-0856,愛知県刈谷市寿町3丁目206番地,食品（駅弁）業・飲食業・健康事業,1000,12,0,12,0.5,サーティワンアイスクリーム店舗スタッフ（三河地区）,,105,187398,2.00,0.00,シフト,名鉄三河線,刈谷市,,,1,刈谷市、西尾市、大府市,接客・販売,448-0856,愛知県刈谷市寿町3丁目206番地,人材開発室,原田　茂生,0566-23-6789,0566-23-8002,240321　株式会社　だるま　サーティワンアイスクリーム店舗スタッフ（三河地区）
2311-300451-7,23110-397759,愛知県,2311,769,56,99,250348,株式会社　だるま,ダルマ,448-0856,愛知県刈谷市寿町3丁目206番地,食品（駅弁）業・飲食業・健康事業,1000,15,7,8,0.5,牛角焼肉食堂　調理・接客スタッフ（牛角焼肉食堂調理?接客スタッフ(名古屋、各務原、鈴鹿、津南)）,,105,187398,2.00,0.00,シフト,地下鉄名城線,ナゴヤドーム前矢田,,,1,名古屋市東区、名古屋市緑区、県外,接客・販売,448-0856,愛知県刈谷市寿町3丁目206番地,人材開発室,原田　茂生,0566-23-6789,0566-23-8002
2303-90331-5,23030-128459,愛知県,2303,831,50,1,250349,医療法人　財団善常会,ザイダンゼンジョウカイ,457-0046,名古屋市南区松池町1-11,病院、老人保健施設などの運営,476,465,119,346,0,介護士,,113,147000,4.20,0.00,なし,名鉄名古屋本線,本笠寺,,,1,名古屋市南区,介護,457-0046,名古屋市南区松池町1-11,人事労務課,谷村,052-811-5230,052-811-9390,240188　医療法人　財団善常会　介護士
2303-80593-5,23030-739059,愛知県,2303,233,67,99,250350,株式会社　ＵＡＣＪ　名古屋製造所,ユーエーシージェー　ナゴヤセイゾウショ,455-8670,名古屋市港区千年三丁目１番１２号,アルミニウム圧延品の製造,10460,1930,1778,152,522,"技術技能職",,121,216150,4.36,0.00,2交代,市営名港線,東海通,,,1,名古屋市港区,"技能（機械、製造、技術）",455-8670,名古屋市港区千年三丁目１番１２号,人事部　名古屋人事室,鈴木　智也,052-654-1175,052-654-0498,"230226　株式会社　ＵＡＣＪ　名古屋製造所　技術技能職"
2706-40844-5,27060-599659,大阪府,2706,262,71,13,250351,東洋製鉄　株式会社,トウヨウセイテツ,475-0396,愛知県半田市板山町1-80,鋳造品、鉄板品のバランス、ウェイト製造,306,28,26,2,0.3,製造職／名古屋工場,,117,200000,3.00,0.00,なし,名鉄河和線,青山,1,,,半田市,"技能（機械、製造、技術）",475-0396,愛知県半田市板山町1-80,名古屋工場長,廣田　賢司,0569-27-5131,0569-27-5930,230209　東洋製鉄　株式会社　製造職／名古屋工場
2307-160701-9,23070-8859,愛知県,2307,223,71,4,250352,阿波工業　株式会社　知多事業所,アワコウギョウ　チタエイギョウショ,475-0832,愛知県半田市川崎町1丁目1（JFEスチール内）,鋳鋼品・鋳管品製造,159,148,139,9,0.5,"生産職（技能工・機械工）（請）",,105,200700,3.00,0.00,3交代,JR武豊線,東成岩,1,,,半田市,"技能（機械、製造、技術）",475-0832,愛知県半田市川崎町1丁目1（JFEスチール内）,総務部　課長,中川　雅大,0569-21-6148,0569-24-2925,"230084　阿波工業　株式会社　知多事業所　生産職（技能工・機械工）"
2307-160909-7,23070-309359,愛知県,2307,229,71,99,250353,豊田メタル　株式会社,トヨタメタル,475-0033,愛知県半田市東町１番地の６,使用済自動車から金属を回収・再資源化,167,167,142,25,6,製品出荷オペレーター,,121,179000,4.80,0.00,なし,JR武豊線,半田,1,,,半田市,"技能（機械、製造、技術）",475-0033,愛知県半田市東町１番地の６,経理・総務部　部長,向井　正成,0569-22-2311,0569-22-0212
2307-160909-7,23070-308059,愛知県,2307,229,71,99,250354,豊田メタル　株式会社,トヨタメタル,475-0033,愛知県半田市東町１番地の６,使用済自動車から金属を回収・再資源化,167,167,142,25,6,重機オペレーター,,121,179000,4.80,0.00,なし,JR武豊線,半田,1,,,半田市,"技能（機械、製造、技術）",475-0033,愛知県半田市東町１番地の６,経理・総務部　部長,向井　正成,0569-22-2311,0569-22-0212
1002-618506-1,10020-35859,群馬県,1002,593,45,10,250355,株式会社　ヤマダデンキ,ヤマダデンキ,450-0002,名古屋市中村区名駅一丁目２－５,家電とPCの専門販売店、修理及びサポート,18072,77,59,18,1,総合職：愛知県【企業PRシートあり】(1)家電販売、(2)セールスエンジニア,,115,198500,4.50,0.00,シフト,JR東海道本線,名古屋,,,1,名古屋市中村区、岡崎市、春日井市,総合,370-0841,群馬県高崎市栄町１－１,人事総務本部　採用部　課長,高橋　章郎,027-345-8725,027-345-8838,240218　株式会社　ヤマダデンキ　総合職：愛知県【企業PRシートあり】(1)家電販売、(2)セールスエンジニア
2303-201130-1,23030-373859,愛知県,2303,246,74,11,250356,株式会社　興和工業所,コウワコウギョウショ,467-0861,名古屋市瑞穂区二野町2番28,"金属の表面処理及び加工・溶融亜鉛めっき・樹脂塗装・ジオメット処理・機械加工他",1133,41,37,4,3.8,生産スタッフ,,122,181250,5.04,0.00,なし,名鉄名古屋本線,神宮前,,,2,名古屋市瑞穂区、春日井市、名古屋市南区,"技能（機械、製造、技術）",467-0861,愛知県名古屋市瑞穂区二野町2番28,総務部　人事課,千葉　彩花,052-871-7151,052-871-9336,230051　株式会社　興和工業所　生産スタッフ
2303-91536-7,23030-430159,愛知県,2303,83,91,99,250357,株式会社　スミ設備,スミセツビ,457-0805,名古屋市南区三吉町５丁目３１,マンション等の衛生・空調設備工事の経営,39,23,16,7,0.32,給排水、空調設備施工管理（本社）,,112,185000,3.00,0.00,なし,名鉄常滑線,柴田,,,1,名古屋市南区,"技能（その他）",457-0805,名古屋市南区三吉町５丁目３１,リクルートチーム,牛永　具宏,052-612-4555,052-612-9011
2302-642401-0,23020-1364859,愛知県,2302,392,9,1,250358,株式会社　テスク,テスク,460-0008,名古屋市中区栄１丁目１８番９号,"流通業に特化した業務系基幹システム開発を行うソフトウェア開発・システムインテグレーター事業",127,117,90,27,3,システムエンジニア,,120,204000,0.00,140.00,なし,地下鉄東山線,伏見,,,1,名古屋市中区,"技能（システム、プログラマ）",460-0008,名古屋市中区栄１丁目１８番９号,人事総務部,山崎　有美,052-222-1000,052-222-0099,240246　株式会社　テスク　システムエンジニア
0804-200856-9,08040-423359,茨城県,0804,489,88,99,250359,日立建機ロジテック　株式会社,ヒタチケンキロジテック,474-0024,愛知県大府市朝日町６ー１,建設機械本体及び部品の荷役、梱包並びに輸送,501,12,10,2,3.6,輸送車両の誘導、積込補助＜大府市＞,,126,205600,6.10,0.00,なし,JR東海道本線,大府,1,,,大府市,"技能（その他）",300-0013,茨城県土浦市神立町６５０,総務部　人事・総務グループ　人事勤労係,飯田・弓戸,029-832-2694,029-832-0018
